Sample	B_cells	CD4_3_1	CD4_3_10	CD4_3_11	CD4_3_12	CD4_3_13	CD4_3_14	CD4_3_2	CD4_3_3	CD4_3_4	CD4_3_5	CD4_3_6	CD4_3_7	CD4_3_8	CD4_3_9	CD8_3_1	CD8_3_10	CD8_3_11	CD8_3_12	CD8_3_13	CD8_3_2	CD8_3_3	CD8_3_4	CD8_3_5	CD8_3_6	CD8_3_7	CD8_3_8	CD8_3_9	Endothelium	Macro_3_1	Macro_3_10	Macro_3_2	Macro_3_3	Macro_3_4	Macro_3_5	Macro_3_6	Macro_3_7	Macro_3_8	Macro_3_9	NK_cells	Neutrophils	Tumor
107-A1	498	860	225	79	342	788	64	160	267	116	691	636	251	304	1020	651	343	6798	1017	16362	141	57	450	786	862	1674	545	1102	6181	1192	650	756	299	89	77	657	1087	3486	351	11841	4988	21694
107-A2	226	347	51	21	106	316	11	40	129	26	236	232	91	160	307	285	72	3077	309	7303	68	26	134	345	133	993	123	545	3802	600	358	433	114	24	15	432	351	1605	518	4556	2124	16874
107-A3	1310	1182	572	147	471	1637	108	218	464	202	1301	1115	477	900	2447	1217	308	15643	1483	32573	190	62	950	1441	718	3445	692	2823	13290	2687	1932	2111	786	224	381	1830	3248	11594	1677	25078	9156	30199
107-A4	588	312	125	48	292	444	25	67	102	57	402	283	107	284	830	381	149	7260	614	15583	60	29	257	500	145	1561	203	742	3503	983	621	663	95	60	222	650	2073	5239	1356	9771	3464	23199
117-A1	3776	7064	3704	4817	1580	3278	2758	4415	887	1423	6393	3624	2604	1253	3899	1843	4114	405	3073	3066	977	1033	6681	2263	1225	7550	13462	678	4680	6733	1472	4130	908	1768	298	2804	4261	5533	2934	5004	9940	631
117-A2	106857	51440	32478	2677	1521	5132	23201	41335	11966	17273	17654	13310	6845	2651	8800	31349	7489	571	1666	4753	20757	32964	52092	10589	25706	17646	373262	4800	5113	6781	1117	8155	10050	10637	1638	10078	2543	4241	4473	22477	15199	16233
117-A3	11292	13348	10314	8755	3299	9997	7566	15620	3860	8004	25010	11371	8287	5284	12032	4004	3655	1537	5823	5022	4190	5029	7224	12524	1598	14364	9266	2185	27001	8485	2243	14941	3848	9659	3546	34248	16199	36388	8166	0	15968	12115
117-A4	72691	37172	18841	11240	5286	18650	28530	54479	11069	31317	57035	16711	7166	5024	23405	12190	11504	1052	12481	12827	36512	37315	30723	28489	5265	37358	62533	5725	16832	15272	3065	28707	13448	28689	4250	36986	23414	28400	7765	0	315537	7144
120-A1	342	208	336	152	172	121	60	112	279	242	339	94	100	236	946	125	38	71	816	242	447	142	681	141	55	149	212	30	7486	16684	1086	30903	4285	20882	4300	9160	38126	15112	18389	13904	6199	1762
120-A2	0	185	1230	183	392	609	251	96	294	496	582	141	214	949	3094	68	80	176	983	537	258	111	1314	316	62	516	818	56	2650	18655	965	42308	7317	18590	7725	7456	51298	40309	24248	30854	28817	1236
120-A3	140	189	989	99	249	493	360	239	252	843	358	49	148	611	2219	100	127	54	630	316	1314	325	6107	675	89	850	3363	47	4124	9848	646	25824	10881	21966	7415	5511	38985	21466	16943	16158	18654	1201
124-A1	1180	1262	1273	4207	2735	1589	295	359	884	366	1192	549	1303	3432	4581	383	921	3941	451	446	158	168	400	412	271	2443	1225	416	60059	5876	3018	2429	216	4540	1863	8402	14848	5950	1636	24575	23865	12186
124-A2	679	1517	321	1915	940	738	127	193	748	86	1289	1108	1167	1344	1318	780	424	1269	185	266	118	79	177	546	111	1392	286	366	12700	1906	654	470	39	528	484	1549	1517	1307	1058	5955	5393	8360
124-A3	201	361	615	1753	1744	545	71	86	345	113	974	385	656	1799	1965	129	490	1374	167	240	111	50	344	424	109	1541	536	206	12743	1806	729	516	106	637	499	1766	2038	2264	1874	7812	4033	10816
154-A1	6756	40971	10326	1196	407	6556	11232	7662	10291	3502	11834	39355	7857	3197	4132	59695	5458	277	793	20308	15364	20513	71237	26846	47682	72352	239787	12767	12895	6822	2330	8304	31663	17137	1031	8457	5123	15225	4770	15266	3075	14548
154-A2	2192	11743	2879	977	126	2265	3683	4700	3638	1130	12032	22524	3272	3140	1896	25561	4462	145	609	6174	9428	7855	28539	14795	16865	13857	107377	2934	8417	8830	3701	7123	11355	6335	2608	3238	1695	2978	3062	10163	3064	10044
154-A3	4740	17051	960	2883	18	3297	3492	2962	5813	383	8993	23075	7620	4737	746	25784	4244	147	628	10061	5961	10500	34604	13711	48955	48096	171534	7268	4122	18226	6100	8801	9951	5673	2237	8430	12218	26604	7198	22017	8170	27992
154-A4	6432	17876	10418	2272	427	2725	2702	2526	3993	1700	7172	14935	4763	4485	3481	7582	3012	225	232	5228	2377	2969	15024	6246	21798	17314	75977	3028	2630	9201	1799	6267	1484	3670	10486	5195	3246	5991	3636	15463	18457	228290
181-A1	1561	6319	859	405	474	1809	613	1833	1351	535	4618	4183	1316	1623	1800	5103	2359	226	527	1557	1734	946	1245	4337	531	8842	1810	2119	41676	6456	12299	3015	1293	3977	995	3604	3390	3051	4166	43780	14201	9232
181-A2	570	2283	337	258	255	550	143	432	553	198	1463	1423	521	574	608	1020	312	149	181	464	213	119	173	941	83	1436	122	386	8229	1499	4625	849	137	840	224	551	1206	685	998	21541	3733	992
181-A4	1371	17148	1152	73	283	4283	1429	3334	2752	1348	6199	6374	1975	1688	2373	18690	33706	167	236	2525	6863	32585	5776	20150	1720	100364	25726	5385	10535	1850	3420	2197	4600	8265	928	2682	3270	3518	2052	14282	3640	8084
