,TWDN-WUR-124-A1,TWDN-WUR-124-A2,TWDN-WUR-117-A1,TWDN-WUR-117-A2,TWDN-WUR-120-A1,TWDN-WUR-120-A2,TWDN-WUR-120-A3
MIR6859-1,0,0,0,0,0,0,0
RP11-34P13.3,0.0621922055918422,0.117917017117679,0.105245792339001,0,0.13126744930482,0.080799413597358,0.0440874827921044
MIR1302-2,0,0,0,0,0,0,0
FAM138A,0.0518268379932018,0,0,0,0,0,0
OR4F5,0.0103653675986404,0,0,0,0,0.00897771262192867,0
RP11-34P13.7,8.32339018170821,11.6934375308365,8.56249696243729,0.805007107194932,5.38968703616261,6.14973314602114,3.71216605109519
RP11-34P13.8,0.0932883083877633,0.176875525676519,0.0451053395738575,0.0370118210204566,0.0154432293299788,0.0359108504877147,0.0176349931168417
RP11-34P13.14,0.0829229407891229,0.0393056723725598,0.0676580093607863,0.00925295525511416,0.0772161466498941,0.0448885631096434,0.00881749655842087
RP11-34P13.13,7.67037202299387,11.9882300736307,6.63048491735706,0.906789615001187,8.04592248091896,16.4741026612391,7.93574690257879
RNU6-1100P,0,0,0,0,0,0,0
RP11-34P13.9,0.0103653675986404,0.0982641809313994,0.0150351131912858,0.00925295525511416,0.038608073324947,0.26933137865786,0.0529049793505252
FO538757.3,0.165845881578246,0.0786113447451195,0.165386245104144,0.0462647762755708,0.0926593759798729,0.0897771262192867,0.0264524896752626
FO538757.2,44.0320815590243,40.9565106122073,38.4071966471397,2.16519152969671,14.4162545795352,19.2392381487931,8.05919185439668
MIR6859-2,0,0,0,0,0,0,0
FO538757.1,0,0,0,0,0,0,0
AP006222.2,22.4099247482605,20.1441570909369,13.3662156270531,1.94312060357397,12.9645910225172,12.3533325677739,7.4772370815409
RP5-857K21.15,0.0310961027959211,0.0786113447451195,0.0526228961695005,0.0370118210204566,0.0154432293299788,0.0179554252438573,0.00881749655842087
RP4-669L17.2,0,0.0589585085588396,0.0902106791477151,0,0.0154432293299788,0.00897771262192867,0
RP4-669L17.10,9.02823517841576,13.5014984599743,8.88575189604993,0.342359344439224,2.57129768344147,6.36519824894743,1.6047843736326
OR4F29,0,0,0,0,0,0,0
U6,0,0,0,0,0,0,0
RP5-857K21.1,0.0310961027959211,0.0196528361862799,0.0300702263825717,0.00925295525511416,0,0,0
RP5-857K21.2,0.0103653675986404,0.0196528361862799,0.0751755659564292,0.00925295525511416,0,0.0179554252438573,0
RP5-857K21.3,0.0103653675986404,0,0.112763348934644,0.0277588657653425,0,0,0
RP5-857K21.4,220.232965368312,248.352890886019,3348.84593666105,632.161903029399,3481.70693890238,2329.56380427592,2535.40059540146
RP5-857K21.5,0,0,0,0,0,0,0
AC114498.1,0,0,0,0,0,0,0
MIR6723,0,0,0,0,0,0,0
OR4F16,0,0,0,0,0,0,0
RP11-206L10.3,2.44622675327913,3.04618960887338,1.97711738465409,0.138794328826712,0.362915889254502,1.54416657097173,0.414422338245781
RNU6-1199P,0.0103653675986404,0,0,0,0,0,0.00881749655842087
RP11-206L10.5,1.47188219900693,1.65083823964751,1.39826552678958,0.166553194592055,0.625450787864142,0.772083285485866,0.714217221232091
RP11-206L10.4,0.0518268379932018,0.0589585085588396,0.0451053395738575,0,0,0.00897771262192867,0
RP11-206L10.2,10.261713922654,7.72356462120799,7.23940700160413,0.629200957347762,3.62143727788003,3.29482053224782,2.10738167746259
RP11-206L10.9,84.0942273277693,97.2029277773403,78.3554923963862,30.4144639235602,67.1471611267479,50.8677197158479,40.0314343752308
FAM87B,1.1298250682518,1.37569853303959,0.894589234881508,0.0740236420409132,0.409245577244439,0.601506745669221,0.317429876103151
LINC01128,15.5273206627633,16.7049107583379,12.8926095615276,0.842018928215388,10.4010149537407,17.4526733370293,9.20546640699139
LINC00115,8.07462135934084,5.64036398546233,4.20983169356004,0.138794328826712,1.66014715297272,2.16362874188481,0.943472131751034
FAM41C,0.839594775489869,1.35604569685331,0.857001451903293,0.101782507806256,0.972923447788665,0.664350734022722,0.440874827921044
RP11-54O7.16,1.1298250682518,2.49591019565754,1.46592353615037,1.43420806454269,1.08874766776351,0.933682112680582,0.996377111101559
RP11-54O7.1,0,0.0589585085588396,0.0150351131912858,0,0,0,0
RP11-54O7.2,0,0.0393056723725598,0,0,0,0,0
RP11-54O7.3,0.0103653675986404,0.746807775078635,0.172903801699787,0,0,0,0
SAMD11,0.404249336346974,9.02065180950246,2.94688218549203,0.194312060357397,0.138989063969809,0.206487390304359,0.0881749655842087
NOC2L,18.9167958675187,16.0367143280044,19.199839545272,1.79507331949215,5.75260292541711,12.209689165823,6.89528230868512
KLHL17,1.03653675986404,2.24042332523591,0.66906253701222,0.0832765972960274,0.146710678634799,0.80799413597358,0.255707400194205
AL645608.1,0,0,0,0,0,0,0
PLEKHN1,5.58693313566716,9.64954256746342,2.84163639315302,0.388624120714795,0.965201833123676,2.89980117688296,1.92221424973575
